1;Bulbasaur;1;Planta;Veneno;bulbasaur.png
2;Ivysaur;1;Planta;Veneno;ivysaur.png
3;Venusaur;1;Planta;Veneno;venusaur.png
4;Charmander;1;Fuego;;charmander.png
5;Charmeleon;1;Fuego;;charmeleon.png
6;Charizard;1;Fuego;Volador;charizard.png
7;Squirtle;1;Agua;;squirtle.png
8;Wartortle;1;Agua;;wartortle.png
9;Blastoise;1;Agua;;blastoise.png
10;Caterpie;1;Bicho;;caterpie.png
11;Metapod;1;Bicho;;metapod.png
12;Butterfree;1;Bicho;Volador;butterfree.png
13;Weedle;1;Bicho;Veneno;weedle.png
14;Kakuna;1;Bicho;Veneno;kakuna.png
15;Beedrill;1;Bicho;Veneno;beedrill.png
16;Pidgey;1;Normal;Volador;pidgey.png
17;Pidgeotto;1;Normal;Volador;pidgeotto.png
18;Pidgeot;1;Normal;Volador;pidgeot.png
19;Rattata;1;Normal;;rattata.png
20;Raticate;1;Normal;;raticate.png
21;Spearow;1;Normal;Volador;spearow.png
22;Fearow;1;Normal;Volador;fearow.png
23;Ekans;1;Veneno;;ekans.png
24;Arbok;1;Veneno;;arbok.png
25;Pikachu;1;Eléctrico;;pikachu.png
26;Raichu;1;Eléctrico;;raichu.png
27;Sandshrew;1;Tierra;;sandshrew.png
28;Sandslash;1;Tierra;;sandslash.png
29;Nidoran-F;1;Veneno;;nidoran-f.png
30;Nidorina;1;Veneno;;nidorina.png
31;Nidoqueen;1;Veneno;Tierra;nidoqueen.png
32;Nidoran-M;1;Veneno;;nidoran-m.png
33;Nidorino;1;Veneno;;nidorino.png
34;Nidoking;1;Veneno;Tierra;nidoking.png
35;Clefairy;1;Normal;;clefairy.png
36;Clefable;1;Normal;;clefable.png
37;Vulpix;1;Fuego;;vulpix.png
38;Ninetales;1;Fuego;;ninetales.png
39;Jigglypuff;1;Normal;;jigglypuff.png
40;Wigglytuff;1;Normal;;wigglytuff.png
41;Zubat;1;Veneno;Volador;zubat.png
42;Golbat;1;Veneno;Volador;golbat.png
43;Oddish;1;Planta;Veneno;oddish.png
44;Gloom;1;Planta;Veneno;gloom.png
45;Vileplume;1;Planta;Veneno;vileplume.png
46;Paras;1;Bicho;Planta;paras.png
47;Parasect;1;Bicho;Planta;parasect.png
48;Venonat;1;Bicho;Veneno;venonat.png
49;Venomoth;1;Bicho;Veneno;venomoth.png
50;Diglett;1;Tierra;;diglett.png
51;Dugtrio;1;Tierra;;dugtrio.png
52;Meowth;1;Normal;;meowth.png
53;Persian;1;Normal;;persian.png
54;Psyduck;1;Agua;;psyduck.png
55;Golduck;1;Agua;;golduck.png
56;Mankey;1;Lucha;;mankey.png
57;Primeape;1;Lucha;;primeape.png
58;Growlithe;1;Fuego;;growlithe.png
59;Arcanine;1;Fuego;;arcanine.png
60;Poliwag;1;Agua;;poliwag.png
61;Poliwhirl;1;Agua;;poliwhirl.png
62;Poliwrath;1;Agua;Lucha;poliwrath.png
63;Abra;1;Psíquico;;abra.png
64;Kadabra;1;Psíquico;;kadabra.png
65;Alakazam;1;Psíquico;;alakazam.png
66;Machop;1;Lucha;;machop.png
67;Machoke;1;Lucha;;machoke.png
68;Machamp;1;Lucha;;machamp.png
69;Bellsprout;1;Planta;Veneno;bellsprout.png
70;Weepinbell;1;Planta;Veneno;weepinbell.png
71;Victreebel;1;Planta;Veneno;victreebel.png
